block,date,med_leverage,lev_qoq
Asia Pacific,2005 Q4,1.298330729572549,0.012585833271354652
Central and E. Europe,2005 Q4,0.9689072768591735,-3.838254623816928e-4
Emerging Asia,2005 Q4,0.9736265094085316,0.006579813976120841
Latin America,2005 Q4,1.0598338903814517,0.0036248579673845427
ME/Africa,2005 Q4,1.0679427769438898,-0.00940362830260466
North America,2005 Q4,1.1260107865840585,0.009058069564409799
W. Europe,2005 Q4,1.4258359787766273,0.035064215642189644
Asia Pacific,2006 Q1,1.308354319250649,0.007720366967975956
Central and E. Europe,2006 Q1,0.9924757921442156,0.02432484082629882
Emerging Asia,2006 Q1,0.9552187125531932,-0.018906425284702766
Latin America,2006 Q1,0.9392622551264628,-0.11376465345111131
ME/Africa,2006 Q1,1.0526278515645044,-0.014340586134410471
North America,2006 Q1,1.1251481023334364,-7.661420839840671e-4
W. Europe,2006 Q1,1.4144508702387713,-0.007984865515614503
Asia Pacific,2006 Q2,1.3009859872800271,-0.005631755757753765
Central and E. Europe,2006 Q2,1.010003288840787,0.017660377044264042
Emerging Asia,2006 Q2,0.9695975731104222,0.015052951086768296
Latin America,2006 Q2,1.0872335414550864,0.15753990487853753
ME/Africa,2006 Q2,1.0606792243731735,0.007648831252851984
North America,2006 Q2,1.1389869667192671,0.012299593588728897
W. Europe,2006 Q2,1.4004588840918406,-0.00989216836111717
Asia Pacific,2006 Q3,1.315852470499538,0.011427089426683468
Central and E. Europe,2006 Q3,0.9997206798544,-0.01018076782521038
Emerging Asia,2006 Q3,0.966370647268726,-0.003328108414446973
Latin America,2006 Q3,1.0629924589449624,-0.022296113563311515
ME/Africa,2006 Q3,1.071652279624434,0.01034530987230875
North America,2006 Q3,1.1356177184015683,-0.0029581096326357637
W. Europe,2006 Q3,1.397930844306129,-0.001805151021874618
Asia Pacific,2006 Q4,1.3062547393506398,-0.007293926457617728
Central and E. Europe,2006 Q4,1.0192916576334292,0.019576445874741166
Emerging Asia,2006 Q4,0.9287351573745928,-0.03894519147544806
Latin America,2006 Q4,0.9895089045246708,-0.06912895176436651
