country,date,leverage,lev_growth
CR,2011 Q1,1.686716359148797,-0.07168545351093791
CY,2011 Q1,1.0412931506849314,0.005617050399086221
CZ,2011 Q1,0.7941774130519734,0.02274992615288096
DE,2011 Q1,1.2281844012851761,-0.0018808786287318746
DK,2011 Q1,3.7388718023483305,0.10428199037825303
EE,2011 Q1,1.61255230125523,-0.016228417081253887
ES,2011 Q1,1.732554486550167,-0.006356727199724244
FI,2011 Q1,1.421539466959356,0.048119293003298313
FR,2011 Q1,1.2428843292535132,0.013922631086662696
GB,2011 Q1,1.3696229069402976,-0.008486077448389029
GR,2011 Q1,1.2447294838222893,0.04635497942893063
HR,2011 Q1,1.195410831355372,0.015355149249946631
HU,2011 Q1,1.1718841142177192,-0.052463253314942726
ID,2011 Q1,0.779156276868862,0.019708891709636633
IE,2011 Q1,1.0195715329335213,-0.01258418904983305
IL,2011 Q1,1.1255765187830502,0.030205525444712666
IS,2011 Q1,1.9034911940286572,-0.026718626147011593
IT,2011 Q1,1.335530222524449,0.05037402560354609
JP,2011 Q1,0.4828610894600169,-0.011947951428593118
KR,2011 Q1,1.139291108502015,0.0038940572189052336
LT,2011 Q1,1.4318890814558058,0.008917496382200962
LU,2011 Q1,0.33792683929305384,-0.053492396500178396
LV,2011 Q1,2.0307239552678045,-0.03904348659266077
MT,2011 Q1,1.0880007856594052,-5.828627773742934e-4
MX,2011 Q1,0.7259196466015233,0.021677080103043145
MY,2011 Q1,0.8948278513881905,0.0036459140658635647
NL,2011 Q1,1.22178551715273,0.0643554346926587
NO,2011 Q1,1.9542609834687021,0.0026739587041397783
NZ,2011 Q1,1.5506076940211329,-0.016372087069100427
PL,2011 Q1,1.0112207997251237,-0.014037465564516127
PT,2011 Q1,1.838622044968499,0.033197016983247396
RO,2011 Q1,1.2097505586684159,0.01217225179643644
RU,2011 Q1,1.0905986393827287,0.023272322233968357
SE,2011 Q1,2.178312391910493,0.022041599628193964
SG,2011 Q1,0.8247153013514379,0.010192077691587587
SI,2011 Q1,1.6479209225769538,0.012819581635800548
SK,2011 Q1,0.9901227617051497,0.02767149312981365
TH,2011 Q1,1.003881780357693,0.008714699677398685
TR,2011 Q1,0.884604907353319,0.035046460944430646
US,2011 Q1,0.9750685074308967,-0.03826688491086605
ZA,2011 Q1,1.175482054759222,-0.015156987752252826
AR,2011 Q2,0.6943724930394718,0.019048033420355437
AT,2011 Q2,1.3254166431730126,0.011906710474764992
AU,2011 Q2,1.501416137648547,-0.0020306991059737545
BE,2011 Q2,0.61411735542311785,0.023337776621248474
BG,2011 Q2,1.1421047077752933,-0.013419184459220634
BO,2011 Q2,0.857397320726049,0.04718548612437301
BR,2011 Q2,1.128589416395834,0.04287966953008682
BY,2011 Q2,1.6059053820010454,-0.17426511872195705
CA,2011 Q2,0.9868922698230198,0.005816594399027042
CH,2011 Q2,1.1539600583364698,0.0024979614201285916
CL,2011 Q2,1.5923061898144784,-0.0696759763874375
CN,2011 Q2,2.444978836011578,-0.004088303839766105
CO,2011 Q2,1.7091359493959923,0.0577624842349187
CR,2011 Q2,1.7793166193437742,0.09260026019497714
CY,2011 Q2,1.0450138799914586,0.003720729306527115
CZ,2011 Q2,0.8050533489838902,0.010875935931916825
DE,2011 Q2,1.2078541434827512,-0.020330257802424923
DK,2011 Q2,3.7010606882935395,-0.037811114054790984
EE,2011 Q2,1.5897920604914935,-0.022760240763736617
ES,2011 Q2,1.748468001174407,0.015913514624239955
FI,2011 Q2,1.426903465773333,0.005363998813977089
FR,2011 Q2,1.2793244190781798,0.03644008982466662
GB,2011 Q2,1.3760349341102276,0.006412027169929946
GR,2011 Q2,1.3028665633483456,0.05813707952605629
HR,2011 Q2,1.2107659806053186,0.015355149249946631
HU,2011 Q2,1.1978497464752231,0.025965632257503923
ID,2011 Q2,0.8230149857204763,0.04385870885161425
IE,2011 Q2,0.9708323901635971,-0.04873914276992419
IL,2011 Q2,1.1150027346109912,-0.010573784172059009
IS,2011 Q2,1.8850401924846,-0.0184510015440571
IT,2011 Q2,1.3554404082370097,0.019910185712560757
JP,2011 Q2,0.4727784468546705,-0.01008264260534636
KR,2011 Q2,1.1383773113303643,-9.137971716506321e-4
LT,2011 Q2,1.4186506231198968,-0.013238458335909087
LU,2011 Q2,0.34566997851772285,0.007743139224669016
LV,2011 Q2,2.0048595472324284,-0.02586440803537604
MT,2011 Q2,1.0687214216354461,-0.019279364023959022
MX,2011 Q2,0.7275361311857474,0.0016164845842241427
MY,2011 Q2,0.8853475147637945,-0.0094803366243960685
NL,2011 Q2,1.2105552973358635,-0.01123021981686656
NO,2011 Q2,1.9388113035954462,-0.015449679873255961
