"date","CL","RB","HO","NG","TG","LU","HG","AL","LD","TR","TH","ZC","KE","ZS","ZM","RS","KC","SB","SW","CC","CT","LE","GF","HE","LB","CU","XR","ZK"
2023-03-01,75.1500015258789,NA,NA,6.21999979019165,9.13000011444092,8.15999984741211,NA,39.3699989318848,46.2350006103516,42.3319816589355,13.1400003433228,NA,24.1000003814697,116.830001831055,73.8399963378906,256.739990234375,8.89000034332275,3.69000005722046,NA,29.9400005340576,NA,9.72000026702881,9.09000015258789,38.4000015258789,NA,NA,NA,NA
2023-04-01,79.8000030517578,NA,NA,5.44000005722046,9.38000011444092,6.80000019073486,NA,40.2200012207031,46.4150009155273,38.5333213806152,12.6099996566772,NA,20.1299991607666,90.0999984741211,61.4300003051758,247.800003051758,5.73000001907349,3.66000008583069,NA,29.0699996948242,NA,7.17000007629395,9,39.2099990844727,NA,NA,NA,NA
2023-05-01,74.379997253418,NA,NA,5.15000009536743,7.03000020980835,5.11999988555908,NA,38.0200004577637,44.3650016784668,36.827220916748,14.1300001144409,NA,24.7999992370605,135.479995727539,67.129997253418,234.679992675781,4.46000003814697,3.17000007629395,NA,26.4899997711182,NA,6.26999998092651,8.52000045776367,35.9099998474121,NA,NA,NA,NA
2023-06-01,77.0400009155273,NA,NA,3.99000000953674,6.67000007629395,5.71999979019165,NA,41.8499984741211,45.1295013427734,33.3773193359375,13.4200000762939,NA,27.6299991607666,146.300003051758,67.879997253418,271.589996337891,6.09999990463257,3.25999999046326,NA,36.8899993896484,NA,7.76000022888184,8.97999954223633,36.2000007629395,NA,NA,NA,NA
2023-07-01,76.2600021362305,NA,NA,4.51000022888184,6.92000007629395,7.11999988555908,NA,42.3400001525879,NA,32.8588943481445,12.7700004577637,NA,29.1800003051758,160.380004882812,73.3499984741211,292.859985351562,7.03999996185303,3.32999992370605,NA,36.9799995422363,NA,9.38000011444092,9.25,38.3899993896484,NA,NA,NA,NA
2023-08-01,73.4700012207031,NA,NA,4.11999988555908,5.03000020980835,4.84000015258789,NA,40.7599983215332,NA,30.3044586181641,15.8999996185303,NA,30.1900005340576,156.050003051758,71.0299987792969,284.959991455078,5.69000005722046,3.21000003814697,NA,34.0200004577637,NA,7.69999980926514,8.77999973297119,14.0200004577637,NA,NA,NA,NA
2023-09-01,71.1100006103516,NA,NA,3.83999991416931,5.40999984741211,4.23999977111816,NA,39.4099998474121,NA,28.1459140777588,15.8800001144409,NA,27.3799991607666,155.589996337891,69.9400024414062,262.230010986328,4.92999982833862,3.24000000953674,NA,28.0499992370605,NA,7.46999979019165,8.17000007629395,12.3100004196167,NA,NA,NA,NA
2023-10-01,75.120002746582,NA,NA,3.51999998092651,4.48000001907349,3.8199999332428,NA,34.6300010681152,NA,29.3241596221924,13.7299995422363,NA,26.2000007629395,158.690002441406,59.9799995422363,254.380004882812,4.76000022888184,3.14000010490417,NA,24.1100006103516,NA,6.28000020980835,7.51000022888184,12.9799995422363,NA,NA,NA,NA
2023-11-01,78.7699966430664,NA,NA,4.19999980926514,4.69999980926514,3.39599990844727,15.5,38.7900009155273,NA,31.1904983520508,10.9099998474121,NA,24.6399993896484,197.529998779297,67.8300018310547,275.260009765625,4.36999988555908,3.88000011444092,NA,27.4300003051758,NA,7.05999994277954,8.42000007629395,12.1899995803833,NA,NA,NA,NA
2023-12-01,79.7099990844727,NA,NA,3.74000000953674,5.40999984741211,3.0699999332428,14.9499998092651,41.939998626709,NA,31.3318881988525,9.72999954223633,NA,26.9500007629395,221.559997558594,71.9100036621094,279.679992675781,3.77999997138977,3.9300000667572,NA,31.5400009155273,NA,9.5600004196167,8.73999977111816,14.1899995803833,NA,NA,NA,NA
2024-01-01,84.1999969482422,NA,NA,2.55999994277954,4.73000001907349,2.36999988555908,15.0900001525879,41.810001373291,NA,30.7192001342773,9.67000007629395,NA,23.7800006866455,235.669998168945,64.6100006103516,285.420013427734,2.59999990463257,4.03999996185303,NA,30.1700000762939,NA,9.47000026702881,8.32999992370605,12.9700002670288,NA,NA,NA,NA
2024-02-01,86.5199966430664,NA,NA,2.48000001907349,4.34999990463257,3.11999988555908,13.5100002288818,40.0999984741211,NA,30.6532192230225,9.68000030517578,NA,22.5100002288818,241.970001220703,70.7300033569336,321.220001220703,2.86999988555908,4.6399998664856,NA,19.6700000762939,NA,9.72999954223633,8.4399995803833,12.1800003051758,NA,NA,NA,NA
2024-03-01,90.0500030517578,NA,NA,3,6.51999998092651,4.21999979019165,13.9300003051758,51.439998626709,NA,31.0970878601074,10.8699998855591,NA,21.6499996185303,192.630004882812,65.370002746582,334.179992675781,3.03999996185303,4.96000003814697,NA,26.2600002288818,NA,10.8900003433228,8.71000003814697,11.2700004577637,NA,NA,NA,NA
2024-04-01,91.9199981689453,NA,NA,2.90000009536743,6.38000011444092,4.3899998664856,13.5799999237061,50.2400016784668,NA,28.8446598052979,11.125,NA,20.9300003051758,172.940002441406,61.0999984741211,284.720001220703,3.0699999332428,4.98999977111816,NA,26.75,NA,13.6800003051758,8.35999965667725,9.85000038146973,NA,NA,NA,NA
2024-05-01,92.9599990844727,NA,NA,3.9300000667572,5.44999980926514,4.48000001907349,17.25,47.6399993896484,NA,28.4077663421631,11.3599996566772,NA,22.9200000762939,169.960006713867,61.3400001525879,300.779998779297,2.82999992370605,5.67000007629395,NA,24.8199996948242,NA,14.289999961853,8.6899995803833,10.9899997711182,NA,NA,NA,25.2000007629395
2024-06-01,97.0400009155273,NA,NA,3.46000003814697,4.78999996185303,2.36999988555908,16.6499996185303,47.5299987792969,NA,29.6796112060547,8.71000003814697,NA,21.9799995422363,192.190002441406,59.189998626709,285.600006103516,2.50999999046326,5.82000017166138,NA,22.5699996948242,NA,13.5900001525879,8.14000034332275,9.02000045776367,23.1499996185303,NA,NA,18.8400001525879
2024-07-01,99.1900024414062,NA,NA,4.78000020980835,5.71000003814697,2.83999991416931,17.4300003051758,49.6199989318848,NA,29.9417476654053,9.35999965667725,NA,23.7000007629395,179.350006103516,60.4000015258789,304.559997558594,2.70000004768372,5.05999994277954,44.8400001525879,24.1700000762939,NA,17.6900005340576,8.43000030517578,16.5599994659424,32.9700012207031,NA,NA,16.9799995422363
2024-08-01,106.5,NA,NA,4.25,6.13000011444092,2.26999998092651,19.5799999237061,46.2700004577637,NA,28.8543682098389,9.6899995803833,NA,18.4500007629395,199.979995727539,69.0800018310547,286.649993896484,2.32999992370605,5.1100001335144,47.4199981689453,19.4400005340576,NA,15.4899997711182,8.56999969482422,10.7299995422363,37.0400009155273,NA,NA,16.1800003051758
2024-09-01,103.809997558594,NA,NA,4.09999990463257,7.28999996185303,3.49000000953674,19.3400001525879,45.2900009155273,NA,30.0679607391357,7.78000020980835,NA,18.5100002288818,170.940002441406,69.7399978637695,289.209991455078,2.94000005722046,5.17999982833862,49.4199981689453,20.3199996948242,NA,17.2700004577637,8.93000030517578,9.68000030517578,39.1199989318848,NA,NA,22.2900009155273
2024-10-01,93.7099990844727,NA,NA,3.46000003814697,7.75,2.6800000667572,17.4200000762939,44.3499984741211,NA,28.3203887939453,7.46000003814697,NA,17.7900009155273,180.789993286133,74.7399978637695,286.339996337891,2.75,4.19000005722046,51.5,18.1599998474121,NA,15.7399997711182,8.46000003814697,10.2700004577637,56.0999984741211,NA,NA,25.1100006103516
2024-11-01,96.629997253418,NA,NA,3.66000008583069,7.17000007629395,2.45000004768372,19.0799999237061,50.9000015258789,NA,32.1359214782715,8.27000045776367,NA,19.6100006103516,206.589996337891,82.6900024414062,321.239990234375,6.69000005722046,3.86999988555908,55.0200004577637,21.7399997711182,NA,15.9499998092651,8.13000011444092,10.3900003433228,76,NA,NA,23.4300003051758
2024-12-01,90.7900009155273,NA,NA,3.26999998092651,7.55999994277954,2.40000009536743,18.8999996185303,48.0400009155273,NA,31.2038822174072,9.5,NA,18.5799999237061,183.130004882812,82.7300033569336,266.220001220703,11.460000038147,3.48000001907349,53.6199989318848,16.8199996948242,NA,13.1700000762939,7.82000017166138,9.73999977111816,65.2099990844727,NA,NA,28.25
